id,user,uid,version,changeset,timestamp
16660905,bot-mode,451693,2,14394010,2012-12-24T18:55:06Z
16660909,bot-mode,451693,2,15795416,2013-04-20T10:26:03Z
16660919,bot-mode,451693,2,14394010,2012-12-24T18:55:06Z
16660927,andrewpmk,1679,4,26837210,2014-11-17T06:28:40Z
16660957,NE2,207745,7,12707822,2012-08-12T22:30:01Z
16660958,DaveHansenTiger,7168,1,319190,2007-12-16T02:45:16Z
16660972,DaveHansenTiger,7168,1,319190,2007-12-16T02:45:27Z
16660974,DaveHansenTiger,7168,1,319190,2007-12-16T02:45:28Z
16661031,bdiscoe,402624,3,20878309,2014-03-03T01:08:34Z
16661103,Dami_Tn,2012449,8,21557172,2014-04-07T17:54:52Z
16661124,42429,42429,6,15547969,2013-03-30T07:47:22Z
16661160,Yoshinion,3151684,9,42405040,2016-09-24T13:22:14Z
16661231,DaveHansenTiger,7168,1,319190,2007-12-16T02:47:32Z
16661232,DaveHansenTiger,7168,1,319190,2007-12-16T02:47:32Z
16661233,DaveHansenTiger,7168,1,319190,2007-12-16T02:47:33Z
16661266,DaveHansenTiger,7168,1,319190,2007-12-16T02:47:55Z
16661325,NE2,207745,6,13207920,2012-09-22T14:28:43Z
16661355,Yoshinion,3151684,8,43812032,2016-11-19T23:56:29Z
16661375,DaveHansenTiger,7168,1,319190,2007-12-16T02:48:56Z
16661418,MikeN,135163,3,6948466,2011-01-12T15:50:12Z
16661424,MikeN,135163,3,6948466,2011-01-12T15:50:20Z
16661433,42429,42429,7,8654875,2011-07-07T08:00:09Z
16661436,Dami_Tn,2012449,5,27034617,2014-11-26T00:00:18Z
16661449,rickmastfan67,252811,5,12425875,2012-07-22T05:30:50Z
16661452,NE2,207745,6,12707822,2012-08-12T22:29:54Z
16661465,DaveHansenTiger,7168,1,319190,2007-12-16T02:49:45Z
16661548,kräckel,1092114,6,45198557,2017-01-15T20:09:59Z
16661572,maxerickson,360392,3,41792569,2016-08-30T04:07:51Z
16661618,Omnific,1408522,16,28244807,2015-01-19T03:42:14Z
16661639,dannykath,2226712,2,32496655,2015-07-08T14:17:03Z
16661642,DaveHansenTiger,7168,1,319190,2007-12-16T02:51:13Z
16661668,NE2,207745,6,12632931,2012-08-06T12:58:49Z
16661670,woodpeck_repair,145231,7,12409691,2012-07-21T14:36:20Z
16661675,woodpeck_repair,145231,9,12409691,2012-07-21T14:36:21Z
16661703,DaveHansenTiger,7168,1,319190,2007-12-16T02:51:48Z
16661788,42429,42429,5,15547969,2013-03-30T07:47:21Z
16661801,42429,42429,4,8655567,2011-07-07T09:26:39Z
16661807,42429,42429,6,8654875,2011-07-07T08:00:12Z
16661830,Omnific,1408522,2,28319682,2015-01-22T04:30:11Z
16661845,Dami_Tn,2012449,8,27057552,2014-11-26T22:50:43Z
16661847,Dami_Tn,2012449,9,21503465,2014-04-04T20:49:47Z
16661853,rickmastfan67,252811,5,12425450,2012-07-22T04:40:45Z
16661856,rickmastfan67,252811,5,12425450,2012-07-22T04:40:45Z
16661861,DaveHansenTiger,7168,1,319190,2007-12-16T02:53:02Z
16661945,woodpeck_repair,145231,5,12409691,2012-07-21T14:36:29Z
16661947,Khbateman,7169815,10,54472735,2017-12-08T23:22:03Z
16661956,rickmastfan67,252811,7,12424095,2012-07-22T01:48:45Z
16661963,Dami_Tn,2012449,7,27058914,2014-11-27T00:54:55Z
16661964,KristenK,1494110,7,20151177,2014-01-22T22:25:04Z
