id,key,value,type
16660905,highway,residential,regular
16660905,name,Sharon Woods Lane,regular
16660905,cfcc,A41,tiger
16660905,county,"Mecklenburg, NC",tiger
16660905,name_base,Sharon Woods,tiger
16660905,name_type,Ln,tiger
16660905,reviewed,no,tiger
16660905,zip_left,28210,tiger
16660905,zip_right,28210,tiger
16660909,highway,residential,regular
16660909,name,Sonata Place,regular
16660909,cfcc,A41,tiger
16660909,county,"Mecklenburg, NC",tiger
16660909,name_base,Sonata,tiger
16660909,name_type,Pl,tiger
16660909,reviewed,no,tiger
16660909,zip_left,28211,tiger
16660909,zip_right,28211,tiger
16660919,highway,residential,regular
16660919,name,Sycamore Creek Drive,regular
16660919,cfcc,A41,tiger
16660919,county,"Mecklenburg, NC",tiger
16660919,name_base,Sycamore Creek,tiger
16660919,name_type,Dr,tiger
16660919,reviewed,no,tiger
16660927,highway,residential,regular
16660927,lanes,2,regular
16660927,name,Oriole Street,regular
16660927,surface,asphalt,regular
16660957,highway,motorway_link,regular
16660957,oneway,yes,regular
16660957,cfcc,A63,tiger
16660957,county,"Mecklenburg, NC",tiger
16660957,source,tiger_import_dch_v0.6_20070829,tiger
16660957,tlid,70566148:70592968,tiger
16660957,upload_uuid,bulk_upload.pl-59114b71-e8f9-4c0f-93ff-eb3f79e1d56f,tiger
16660958,highway,residential,regular
16660958,cfcc,A41,tiger
16660958,county,"Mecklenburg, NC",tiger
16660958,reviewed,no,tiger
16660958,separated,no,tiger
16660958,source,tiger_import_dch_v0.6_20070829,tiger
16660958,tlid,70487349,tiger
16660958,upload_uuid,bulk_upload.pl-59114b71-e8f9-4c0f-93ff-eb3f79e1d56f,tiger
16660972,highway,residential,regular
16660972,cfcc,A41,tiger
16660972,county,"Mecklenburg, NC",tiger
16660972,reviewed,no,tiger
16660972,separated,no,tiger
16660972,source,tiger_import_dch_v0.6_20070829,tiger
16660972,tlid,70531370,tiger
16660972,upload_uuid,bulk_upload.pl-59114b71-e8f9-4c0f-93ff-eb3f79e1d56f,tiger
16660974,highway,residential,regular
16660974,cfcc,A41,tiger
16660974,county,"Mecklenburg, NC",tiger
16660974,reviewed,no,tiger
16660974,separated,no,tiger
16660974,source,tiger_import_dch_v0.6_20070829,tiger
16660974,tlid,70531375:70531376,tiger
16660974,upload_uuid,bulk_upload.pl-59114b71-e8f9-4c0f-93ff-eb3f79e1d56f,tiger
16661031,highway,residential,regular
16661103,highway,primary,regular
16661103,lanes,2,regular
16661103,oneway,yes,regular
16661103,ref,NC 16,regular
16661103,cfcc,A63,tiger
16661103,county,"Mecklenburg, NC",tiger
16661103,reviewed,no,tiger
16661124,name,Allen - Woodlawn 230kV transmission line,regular
16661124,operator,Duke,regular
16661124,power,line,regular
16661124,voltage,230000,regular
16661160,highway,trunk_link,regular
16661160,oneway,no,regular
16661160,cfcc,A63,tiger
16661160,county,"Mecklenburg, NC",tiger
